Index,RelativePath,Bytes,Lines,FirstFunction
1,"FunctionalConnectivity.m",199815,5437,"function fig = FunctionalConnectivity(dataIn, saveRoot, tag, opts)"
2,"GA_exportGroupAnalysisPPTBundleFix_20260504.m",202,5,"function out = GA_exportGroupAnalysisPPTBundleFix_20260504(varargin)"
3,"GA_exportGroupAnalysisPPTBundleFix_20260511.m",23589,622,"function out = GA_exportGroupAnalysisPPTBundleFix_20260511(fig, mode)"
4,"GA_exportGroupAnalysisPPTBundleFix_20260511_BACKUP_20260511_172713.m",30548,891,"function out = GA_exportGroupAnalysisPPTBundleFix_20260511(hFig,mode)"
5,"GA_exportGroupAnalysisPPTBundleFix_20260511_BACKUP_20260511_173537.m",43195,1366,"function out = GA_exportGroupAnalysisPPTBundleFix_20260511(hFig,mode)"
6,"GA_exportGroupAnalysisPPTBundleFix_20260511_BEFORE_DOUBLECALL_PATCH_20260511_174255.m",23206,592,"function out = GA_exportGroupAnalysisPPTBundleFix_20260511(fig, mode)"
7,"GHA_exportGroupAnalayisPPtNBundleFix_20260504.m",127,4,"function GHA_exportGroupAnalayisPPtNBundleFix_20260504(varargin)"
8,"GroupAnalysis.m",248975,7431,"function hFig = GroupAnalysis(varargin)"
9,"GroupAnalysis_Common.m",127280,5017,"function varargout = GroupAnalysis_Common(action, varargin)"
10,"GroupAnalysis_FC.m",120433,4919,"function varargout = GroupAnalysis_FC(action, varargin)"
11,"GroupAnalysis_Map.m",37197,1199,"function varargout = GroupAnalysis_Map(action, varargin)"
12,"HUMoR_force_fullscreen_fig.m",827,47,"function HUMoR_force_fullscreen_fig(hFig)"
13,"HUMoR_popup_autofit_apply.m",243,11,"function HUMoR_popup_autofit_apply(hFig)"
14,"HUMoR_popup_autofit_timer.m",1265,51,"function HUMoR_popup_autofit_timer(action)"
15,"HUMoR_popup_polish_now.m",10656,375,"function HUMoR_popup_polish_now(h)"
16,"HUMoR_segmentation_popup_fix_now.m",7092,313,"function HUMoR_segmentation_popup_fix_now(varargin)"
17,"SCM_gui.m",233542,6625,"function fig = SCM_gui(PSC, bg, TR, par, baseline, nVolsOrig, varargin)"
18,"Segmentation.m",64613,2020,"function Seg = Segmentation(studio, data, logFcn)"
19,"apply_coronal_registration_to_map.m",4647,168,"function [mapReg, atlasRGB, Reg2D, coverageMask] = apply_coronal_registration_to_map(mapData, regInput, atlasInput)"
20,"apply_reg2d_to_stack.m",1404,49,"function [J, coverageMask] = apply_reg2d_to_stack(I, Reg2D)"
21,"blackbdy_iso.m",7805,287,"function cm = blackbdy_iso(n)"
22,"cleanupMask.m",929,40,"function BW = cleanupMask(BW, minPix)"
23,"computeBackground.m",610,29,"function bg = computeBackground(I)"
24,"computeGabrielSignalChange.m",501,14,"function varargout = computeGabrielSignalChange(varargin)"
25,"computeImregdemonsSignalChange.m",1516,77,"function proc = computeImregdemonsSignalChange(Ic, temporalWin)"
26,"computePSC.m",7011,269,"function proc = computePSC(I, TR, par, baseline)"
27,"coreg.m",24355,852,"function RegOut = coreg(studio, mode)"
28,"coreg_3d.m",20782,783,"function Transf = coreg_3d(studio, forcedAnatomyFile)"
29,"coreg_coronal_2d.m",46293,1443,"function Reg2D = coreg_coronal_2d(studio, forcedSourceFile)"
30,"despike.m",2945,132,"function [out, stats] = despike(data, zthr, saveRoot, tag)"
31,"draw_borders.m",1137,37,"function draw_borders(atlas,orientation,plane)"
32,"example01_registering.m",1109,23,"(script or no function found in first 200 lines)"
33,"fUSI_Live_Studio.m",72084,2304,"function fig = fUSI_Live_Studio(I, TR, metadata, datasetName)"
34,"figviewscan.m",9506,239,"function varargout = figviewscan(varargin)"
35,"filtering.m",12251,441,"function [I_filt, stats] = filtering(I, TR, exportPath, opts)"
36,"frameRateQC.m",4502,150,"function QC = frameRateQC(I, TR, tag, savePNG)"
37,"fusi_studio.m",340767,11707,"function fusi_studio"
38,"gabriel_param_gui.m",438,14,"function varargout = gabriel_param_gui(varargin)"
39,"gabriel_preprocess.m",445,14,"function varargout = gabriel_preprocess(varargin)"
40,"ica_denoise.m",32809,1100,"function [newData, stats] = ica_denoise(dataIn, saveRoot, tag, opts)"
41,"imregdemons_param_gui.m",953,50,"function par = imregdemons_param_gui(par)"
42,"imregdemons_preprocess.m",14121,483,"function out = imregdemons_preprocess(Iin, TRin, opts)"
43,"interpolate3D.m",2724,90,"function scanInt = interpolate3D(atlas, scan)"
44,"interpolateRejectedVolumes.m",947,42,"function Iout = interpolateRejectedVolumes(I, outliers)"
45,"loadFUSIData.m",23291,880,"function [data, meta] = loadFUSIData(dataFile, fallbackTR)"
46,"makeBrushMask.m",759,38,"function B = makeBrushMask(x, y, r, nz, nx)"
47,"mapscan.m",2535,110,"function M=mapscan(data,cmap,method)"
48,"mask.m",100928,3277,"function out = mask(varargin)"
49,"motor.m",46052,1639,"function [I3D, motorInfo] = motor(I, TR, qcFolder)"
50,"motor_patch17_start_popup_guard.m",9378,372,"function motor_patch17_start_popup_guard()"
51,"moveimage.m",4820,234,"function M = moveimage(axesHandle, imageHandle)"
52,"pca_denoise.m",31237,1020,"function [newData, stats] = pca_denoise(dataIn, saveRoot, tag, opts)"
53,"play_fusi_video_final.m",182002,6196,"function fig = play_fusi_video_final( ..."
54,"preproc_param_gui.m",745,36,"function par = preproc_param_gui(par)"
55,"preview_registered_mean_with_atlas.m",971,41,"function [meanReg, atlasUnder] = preview_registered_mean_with_atlas(scanfus, atlas, Transf, atlasMode)"
56,"print_region_list.m",2076,74,"function print_region_list(atlas,namefile)"
57,"qc_fusi.m",55192,1822,"function qc_fusi(data, meta, exportPath, opts)"
58,"readFileList.m",2667,118,"function D=readFileList(filename,sa)"
59,"regionGrowSimilarity.m",2109,86,"function region = regionGrowSimilarity(sig, sy, sx, winR, sigmaFactor, maxPix)"
60,"register_data.m",878,27,"function ras=register_data(atlas,x,Transf)"
61,"registration_ccf.m",59019,1770,"function R = registration_ccf(atlas, scananatomy, varargin)"
62,"registration_coronal_2d.m",59325,1734,"function Reg2Dout = registration_coronal_2d(atlas, src2D, sourceInfo, initialReg, saveDir, funcCandidates, defaultFuncIndex, logFcn)"
63,"run_fusi_studio.m",1346,58,"function run_fusi_studio()"
64,"save_atlas_underlays_from_reg2d.m",3161,124,"function outFiles = save_atlas_underlays_from_reg2d(atlas, Reg2D, saveDir)"
65,"scrubbing.m",17539,589,"function [out, stats] = scrubbing(data, TR, saveRoot, tag)"
66,"showScmVideoSetupDialog.m",26337,1024,"function cfg = showScmVideoSetupDialog(modeName, defaultBaseStart, defaultBaseEnd, defaultUnderlayIdx, varargin)"
67,"studio_load_options_dark_dialog_patch16.m",22201,571,"function [TR, datasetFolder, wasCancelled, probeType, defaultTR] = studio_load_options_dark_dialog_patch16(initialTR, autoDatasetFolder, analysedRoot, datasetName, probeTypeIn, defaultTRIn, data, meta, fullInputFile)"
68,"studio_mkdir.m",75,6,"function studio_mkdir(p)"
69,"studio_resolve_paths.m",4346,175,"function P = studio_resolve_paths(par, fileLabel, exportRootOverride)"
70,"temporalsmoothing.m",6857,261,"function [Iout, stats] = temporalsmoothing(Iin, TR, winSec, opts)"
71,"timeToVolume.m",544,22,"function volume = timeToVolume(t, TR, nVols)"
72,"tryReadSCMroiExportTxt.m",1143,48,"function [ok, tMin, psc] = tryReadSCMroiExportTxt(fname)"
73,"vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_COMMAND.m",114453,3196,"function vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_COMMAND(cfg)"
74,"vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_OBJECT.m",29806,773,"function obj = vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_OBJECT(port)"
75,"vfUSI_StimBox_TTL_EACH_FRAME_OR_TRIGGER_ACCESSORIES_PARAMETERS.m",88839,2687,"function localLaunchMainGUI()"
76,"volumeToFrame.m",630,25,"function frame = volumeToFrame(volume, interpol, nFrames)"
77,"volumeToTime.m",512,23,"function t = volumeToTime(volume, TR)"
78,"winter_brain_fsl.m",9997,286,"function cm = winter_brain_fsl(n)"
