action	status	source	target	details
ARCHIVE_PATCH_SCRIPT	MOVED	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_phase6_fast_structural_cleanup.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928\patch_script_clutter\deConfUSIon_phase6_fast_structural_cleanup.m	
ARCHIVE_PATCH_SCRIPT	MOVED	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_phase6b_fc_noarg_patch.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928\patch_script_clutter\deConfUSIon_phase6b_fc_noarg_patch.m	
RENAME_HUMOR	CREATED_NEW	D:\Github\HUMOR-Analysis-Tool\HUMOR_canonical_dataset_label.m	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_canonical_dataset_label.m	
RENAME_HUMOR	TARGET_ALREADY_EXISTS	D:\Github\HUMOR-Analysis-Tool\HUMOR_compact_chain_name.m	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_compact_chain_name.m	
RENAME_HUMOR	TARGET_ALREADY_EXISTS	D:\Github\HUMOR-Analysis-Tool\HUMOR_canonical_dataset_label.m	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_canonical_dataset_label.m	
RENAME_HUMOR	TARGET_ALREADY_EXISTS	D:\Github\HUMOR-Analysis-Tool\HUMOR_compact_chain_name.m	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_compact_chain_name.m	
REWRITE_HUMOR_REFS	PATCHED	deConfUSIon_phase7_final_polish_cleanup.m		
ARCHIVE_RENAMED_HUMOR_HELPER	MOVED	D:\Github\HUMOR-Analysis-Tool\HUMOR_canonical_dataset_label.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928\renamed_legacy_HUMOR_helpers\HUMOR_canonical_dataset_label.m	
ARCHIVE_RENAMED_HUMOR_HELPER	MOVED	D:\Github\HUMOR-Analysis-Tool\HUMOR_compact_chain_name.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase7_final_polish_20260609_165928\renamed_legacy_HUMOR_helpers\HUMOR_compact_chain_name.m	
ARCHIVE_ZERO_REF_EXPLICIT	KEPT_REFERENCED	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_make_loaded_display_name.m		refs=1
