action	status	source	destination	details
ARCHIVE_PATCH_SCRIPT	MOVED	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_phase8_lean_cleanup.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase9_final_cleanup_20260609_175753\archived_patch_scripts\deConfUSIon_phase8_lean_cleanup.m	
INTEGRATE_LAUNCHER	UPDATED_DECONFUSION	D:\Github\HUMOR-Analysis-Tool\deConfUSIon.m		
PATCH_RAW_REFERENCES	PATCHED	deConfUSIon_phase9_final_cleanup_before_fulltest.m		run_deConfUSIon -> run_fusi_studio
ARCHIVE_INTEGRATED_LAUNCHER	MOVED	D:\Github\HUMOR-Analysis-Tool\run_deConfUSIon.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase9_final_cleanup_20260609_175753\archived_legacy_wrappers\run_deConfUSIon.m	
RENAME_DIALOG_HELPER	CREATED_NEW	D:\Github\HUMOR-Analysis-Tool\studio_load_options_dark_dialog_patch16.m	D:\Github\HUMOR-Analysis-Tool\studio_load_options_dark_dialog.m	
PATCH_RAW_REFERENCES	PATCHED	deConfUSIon_phase9_final_cleanup_before_fulltest.m		studio_load_options_dark_dialog_patch16 -> studio_load_options_dark_dialog
PATCH_RAW_REFERENCES	PATCHED	fusi_studio_GUI.m		studio_load_options_dark_dialog_patch16 -> studio_load_options_dark_dialog
PATCH_RAW_REFERENCES	PATCHED	loadDataCallback.m		studio_load_options_dark_dialog_patch16 -> studio_load_options_dark_dialog
ARCHIVE_RENAMED_DIALOG_HELPER	MOVED	D:\Github\HUMOR-Analysis-Tool\studio_load_options_dark_dialog_patch16.m	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase9_final_cleanup_20260609_175753\archived_legacy_wrappers\studio_load_options_dark_dialog_patch16.m	
MOVE_MANUAL_ATLAS_TOOL_TO_ATLAS_TOOLS	MOVED	D:\Github\HUMOR-Analysis-Tool\save_correct_colors.m	D:\Github\HUMOR-Analysis-Tool\atlas_tools\save_correct_colors.m	
MOVE_MANUAL_ATLAS_TOOL_TO_ATLAS_TOOLS	MOVED	D:\Github\HUMOR-Analysis-Tool\deConfUSIon_reorder_FC_by_list.m	D:\Github\HUMOR-Analysis-Tool\atlas_tools\deConfUSIon_reorder_FC_by_list.m	
ARCHIVE_JM_SOURCE_RAR	MOVED	D:\Github\HUMOR-Analysis-Tool\atlas_tools\matlab_functions.rar	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase9_final_cleanup_20260609_175753\archived_source_packages_and_zero_ref\matlab_functions.rar	
ARCHIVE_ZERO_REF_TINY_HELPER	KEPT_REFERENCED	D:\Github\HUMOR-Analysis-Tool\studio_mkdir.m		refs=6
BRAND_CLEANUP	PATCHED	D:\Github\HUMOR-Analysis-Tool\run_fusi_studio.m		
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_cleanup_20260609_150814	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_cleanup_20260609_150814.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_cleanup_20260609_150814	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_cleanup_20260609_150814.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_finalize_v2_20260609_155808	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_finalize_v2_20260609_155808.zip	
ZIP_BACKUP_FOLDER	REMOVED_AFTER_ZIP	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_finalize_v2_20260609_155808	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_finalize_v2_20260609_155808.zip	
ZIP_BACKUP_FOLDER	ZIPPED	D:\Github\HUMOR-Analysis-Tool\backups\deConfUSIon_phase1_cleanup_20260609_161300	D:\Github\HUMOR-Analysis-Tool\backups\compressed_old_backups_20260609_175753\deConfUSIon_phase1_cleanup_20260609_161300.zip	
