file	path	bytes	classification
FunctionalConnectivity	FunctionalConnectivity.m	365210	KEEP_ACTIVE_TOOLBOX_FILE
GroupAnalysis	GroupAnalysis.m	252773	KEEP_ACTIVE_TOOLBOX_FILE
GroupAnalysis_Common	GroupAnalysis_Common.m	127333	KEEP_ACTIVE_TOOLBOX_FILE
GroupAnalysis_FC	GroupAnalysis_FC.m	122586	KEEP_ACTIVE_TOOLBOX_FILE
GroupAnalysis_Map	GroupAnalysis_Map.m	37787	KEEP_ACTIVE_TOOLBOX_FILE
SCM_gui	SCM_gui.m	233542	KEEP_ACTIVE_TOOLBOX_FILE
Segmentation	Segmentation.m	69300	KEEP_ACTIVE_TOOLBOX_FILE
addLog	addLog.m	2021	KEEP_ACTIVE_TOOLBOX_FILE
blackbdy_iso	blackbdy_iso.m	7519	KEEP_ACTIVE_TOOLBOX_FILE
buildFooterLabel	buildFooterLabel.m	242	KEEP_ACTIVE_TOOLBOX_FILE
computePSC	computePSC.m	7011	KEEP_ACTIVE_TOOLBOX_FILE
coreg	coreg.m	23504	KEEP_ACTIVE_TOOLBOX_FILE
coreg_3d	coreg_3d.m	21224	KEEP_ACTIVE_TOOLBOX_FILE
coreg_coronal_2d	coreg_coronal_2d.m	46735	KEEP_ACTIVE_TOOLBOX_FILE
datasetDropdownCallback	datasetDropdownCallback.m	983	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon	deConfUSIon.m	460	KEEP_LAUNCHER_RUNTIME
deConfUSIon_FC_find_stepmotor_txt_names	deConfUSIon_FC_find_stepmotor_txt_names.m	6686	KEEP_SHARED_FC_STEPMOTOR
deConfUSIon_FC_force_layout	deConfUSIon_FC_force_layout.m	12009	KEEP_SHARED_FC_STEPMOTOR
deConfUSIon_FC_make_slice_roi_result	deConfUSIon_FC_make_slice_roi_result.m	7318	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_FC_read_region_names_file	deConfUSIon_FC_read_region_names_file.m	5889	KEEP_SHARED_FC_STEPMOTOR
deConfUSIon_FC_remember_layout	deConfUSIon_FC_remember_layout.m	3776	KEEP_SHARED_FC_STEPMOTOR
deConfUSIon_FC_stepmotor_read_folder	deConfUSIon_FC_stepmotor_read_folder.m	8216	KEEP_SHARED_FC_STEPMOTOR
deConfUSIon_add_preproc_lazy_datasets	deConfUSIon_add_preproc_lazy_datasets.m	10409	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_apply_rgb2acr	deConfUSIon_apply_rgb2acr.m	3691	KEEP_JM_ATLAS_RUNTIME
deConfUSIon_canonical_dataset_label	deConfUSIon_canonical_dataset_label.m	13566	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_compact_chain_name	deConfUSIon_compact_chain_name.m	1811	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_display_name_from_sources	deConfUSIon_display_name_from_sources.m	12002	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_fc_jm_order	deConfUSIon_fc_jm_order.m	2210	KEEP_JM_ATLAS_RUNTIME
deConfUSIon_find_stepmotor_seg_fc_files	deConfUSIon_find_stepmotor_seg_fc_files.m	5730	KEEP_SHARED_FC_STEPMOTOR
deConfUSIon_fix_processing_name	deConfUSIon_fix_processing_name.m	9843	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_fix_scm_video_dialog_fonts	deConfUSIon_fix_scm_video_dialog_fonts.m	7362	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_force_fullscreen_fig	deConfUSIon_force_fullscreen_fig.m	839	KEEP_GUI_TIMER_CALLBACK
deConfUSIon_make_loaded_display_name	deConfUSIon_make_loaded_display_name.m	851	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_pcaica_scope_tag	deConfUSIon_pcaica_scope_tag.m	287	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_phase9_final_cleanup_before_fulltest	deConfUSIon_phase9_final_cleanup_before_fulltest.m	23162	KEEP_ACTIVE_TOOLBOX_FILE
deConfUSIon_popup_autofit_apply	deConfUSIon_popup_autofit_apply.m	255	KEEP_GUI_TIMER_CALLBACK
deConfUSIon_popup_autofit_timer	deConfUSIon_popup_autofit_timer.m	2113	KEEP_GUI_TIMER_CALLBACK
deConfUSIon_popup_polish_now	deConfUSIon_popup_polish_now.m	11538	KEEP_GUI_TIMER_CALLBACK
deConfUSIon_prepare_atlas	deConfUSIon_prepare_atlas.m	1532	KEEP_JM_ATLAS_RUNTIME
deConfUSIon_safe_preproc_save_path	deConfUSIon_safe_preproc_save_path.m	4773	KEEP_ACTIVE_TOOLBOX_FILE
despike	despike.m	2814	KEEP_ACTIVE_TOOLBOX_FILE
fUSI_Live_Studio	fUSI_Live_Studio.m	75679	KEEP_ACTIVE_TOOLBOX_FILE
filtering	filtering.m	16765	KEEP_ACTIVE_TOOLBOX_FILE
frameRateQC	frameRateQC.m	5264	KEEP_ACTIVE_TOOLBOX_FILE
fusi_studio_GUI	fusi_studio_GUI.m	197967	KEEP_ACTIVE_TOOLBOX_FILE
fusi_studio_callback	fusi_studio_callback.m	168546	KEEP_ACTIVE_TOOLBOX_FILE
ica_denoise	ica_denoise.m	58048	KEEP_ACTIVE_TOOLBOX_FILE
imregdemons_preprocess	imregdemons_preprocess.m	15117	KEEP_ACTIVE_TOOLBOX_FILE
interpolate3D	interpolate3D.m	2635	KEEP_ACTIVE_TOOLBOX_FILE
interpolateRejectedVolumes	interpolateRejectedVolumes.m	906	KEEP_ACTIVE_TOOLBOX_FILE
loadDataCallback	loadDataCallback.m	10498	KEEP_ACTIVE_TOOLBOX_FILE
loadFUSIData	loadFUSIData.m	25088	KEEP_ACTIVE_TOOLBOX_FILE
mapscan	mapscan.m	2426	KEEP_ACTIVE_TOOLBOX_FILE
mask	mask.m	109948	KEEP_ACTIVE_TOOLBOX_FILE
motor	motor.m	48610	KEEP_ACTIVE_TOOLBOX_FILE
moveimage	moveimage.m	7312	KEEP_ACTIVE_TOOLBOX_FILE
pca_denoise	pca_denoise.m	39017	KEEP_ACTIVE_TOOLBOX_FILE
play_fusi_video_final	play_fusi_video_final.m	190063	KEEP_ACTIVE_TOOLBOX_FILE
qc_fusi	qc_fusi.m	62089	KEEP_ACTIVE_TOOLBOX_FILE
readFileList	readFileList.m	3635	KEEP_JM_ATLAS_RUNTIME
registration_ccf	registration_ccf.m	63923	KEEP_ACTIVE_TOOLBOX_FILE
registration_coronal_2d	registration_coronal_2d.m	58879	KEEP_ACTIVE_TOOLBOX_FILE
